,Id_Target,Id_Source,communityid_Target,communityid_Source,betweenness_centrality_Source,betweenness_centrality_Target
5083,196717787,276093811,2.0,4.0,91342.857496,815552.738636
5086,196717787,288495993,2.0,,,815552.738636
5087,196717787,291336460,2.0,1.0,753.440867,815552.738636
5090,196717787,306967462,2.0,,,815552.738636
5093,196717787,358143304,2.0,,,815552.738636
5099,196717787,467817388,2.0,,,815552.738636
5101,196717787,525910396,2.0,,,815552.738636
5105,196717787,760497115,2.0,4.0,0.0,815552.738636
5106,196717787,811549418,2.0,,,815552.738636
5109,196717787,872810605,2.0,,,815552.738636
5110,196717787,881426857,2.0,,,815552.738636
5112,196717787,1483413924,2.0,1.0,762.474647,815552.738636
5119,196717787,2275886439,2.0,4.0,19200.293649,815552.738636
5123,196717787,2797935107,2.0,,,815552.738636
5124,196717787,3135148227,2.0,,,815552.738636
5126,196717787,3299469609,2.0,,,815552.738636
5130,196717787,4819639768,2.0,5.0,0.0,815552.738636
5138,196717787,891058415195303939,2.0,,,815552.738636
5141,196717787,1066847336050147329,2.0,4.0,294175.044301,815552.738636
5142,196717787,1088545656002801664,2.0,,,815552.738636
5144,196717787,1095768409449459712,2.0,,,815552.738636
5148,196717787,1225848216467509248,2.0,,,815552.738636
5154,196717787,1283460034182209537,2.0,,,815552.738636
5157,196717787,1326306504027287554,2.0,,,815552.738636
5158,196717787,1329460132967821314,2.0,3.0,29874.779536000002,815552.738636
5163,196717787,1439240496921161733,2.0,4.0,368.972818,815552.738636
5165,198927392,37513699,5.0,1.0,102898.200528,162910.844029
5175,198927392,590339623,5.0,3.0,55599.106722000004,162910.844029
5223,205786669,421482494,1.0,2.0,41754.057823,1012661.8279190001
5237,205786669,1093876945,1.0,11.0,78914.152394,1012661.8279190001
5246,205786669,1663428859,1.0,2.0,87863.823485,1012661.8279190001
5266,205786669,733429965333520390,1.0,3.0,403475.1859,1012661.8279190001
5296,205786669,1304621913231286272,1.0,3.0,211979.68931400002,1012661.8279190001
5308,211564038,15677734,5.0,2.0,389040.22610100004,1403026.44631
5309,211564038,16272844,5.0,1.0,3097217.448389,1403026.44631
5342,211564038,274220538,5.0,1.0,57281.246213,1403026.44631
5349,211564038,363070453,5.0,1.0,816986.464468,1403026.44631
5467,215632349,18108896,2.0,3.0,85545.248693,4958323.6578
5498,215632349,50503401,2.0,1.0,42449.645218,4958323.6578
5525,215632349,112903588,2.0,1.0,15569.002238,4958323.6578
5531,215632349,122053347,2.0,3.0,64753.757836000004,4958323.6578
5625,215632349,1033285939,2.0,1.0,186387.394534,4958323.6578
5633,215632349,1225685834,2.0,1.0,95587.10140900001,4958323.6578
5659,215632349,2192354906,2.0,3.0,8912.79698,4958323.6578
5663,215632349,2262304373,2.0,1.0,209187.350199,4958323.6578
5665,215632349,2292642554,2.0,3.0,34337.783035,4958323.6578
5676,215632349,2557859383,2.0,1.0,1132691.63006,4958323.6578
5690,215632349,2872976578,2.0,3.0,33614.773435,4958323.6578
5701,215632349,3180619280,2.0,3.0,34337.783035,4958323.6578
5705,215632349,3333795492,2.0,6.0,340882.609891,4958323.6578
5706,215632349,3418588623,2.0,6.0,416578.260695,4958323.6578
5710,215632349,4719872722,2.0,1.0,59435.280784,4958323.6578
5727,215632349,824357739501531136,2.0,5.0,189127.125445,4958323.6578
5738,215632349,920307650402775041,2.0,3.0,28767.058284,4958323.6578
